indicator,precision,recall,f1,support
"3.3.1 - Number of new HIV infections per 1,000 uninfected population, by sex, age and key populations",0.956,0.833,0.89,78
"3.3.2 - Tuberculosis incidence per 100,000 population",0.872,0.723,0.791,47
"3.3.3 - Malaria incidence per 1,000 population",0.886,0.689,0.775,45
"3.7.2 - Adolescent birth rate (aged 10_14 years; aged 15_19 years) per 1,000 women in that age group",0.786,0.688,0.733,32
"3.4.1 - Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",0.731,0.731,0.731,93
3.b.2 - Total net official development assistance to medical research and basic health sector,0.708,0.712,0.71,215
"3.9.2 - Mortality rate attributed to unsafe water, unsafe sanitation and lack of hygiene (exposure to unsafe Water, Sanitation and Hygiene for All (WASH) services)",0.676,0.639,0.657,36
3.7.1 - Proportion of women of reproductive age (aged 15_49 years) who have their need for family planning satisfied with modern methods,0.667,0.629,0.647,35
3.b.1 - Proportion of the target population covered by all vaccines included in their national programme,0.657,0.59,0.622,39
3.d.1 - International Health Regulations (IHR) capacity and health emergency preparedness,0.6,0.643,0.621,42
3.c.1 - Health worker density and distribution,0.609,0.596,0.602,47
3.2.1 - Under-5 mortality rate,0.667,0.533,0.593,45
3.3.5 - Number of people requiring interventions against neglected tropical diseases,0.588,0.588,0.588,34
"3.8.1 - Coverage of essential health services (defined as the average coverage of essential services based on tracer interventions that include reproductive, maternal, newborn and child health, infectious diseases, non-communicable diseases and service capacity and access, among the general and the most disadvantaged population)",0.548,0.618,0.581,102
"3.5.2 - Harmful use of alcohol, defined according to the national context as alcohol per capita consumption (aged 15 years and older) within a calendar year in litres of pure alcohol",0.615,0.533,0.571,15
3.a.1 - Age-standardized prevalence of current tobacco use among persons aged 15 years and older,0.667,0.5,0.571,16
3.9.1 - Mortality rate attributed to household and ambient air pollution,0.667,0.444,0.533,9
3.1.1 - Maternal mortality ratio,0.486,0.567,0.523,30
"3.5.1 - Coverage of treatment interventions (pharmacological, psychosocial and rehabilitation and aftercare services) for substance use disorders",0.4,0.75,0.522,16
3.b.3 - Proportion of health facilities that have a core set of relevant essential medicines available and affordable on a sustainable basis,0.474,0.57,0.517,79
"3.3.4 - Hepatitis B incidence per 100,000 population",0.857,0.353,0.5,17
3.4.2 - Suicide mortality rate,0.389,0.636,0.483,11
3.8.2 - Proportion of population with large household expenditures on health as a share of total household expenditure or income,0.448,0.394,0.419,33
3.9.3 - Mortality rate attributed to unintentional poisoning,0.417,0.385,0.4,13
3.2.2 - Neonatal mortality rate,0.444,0.211,0.286,19
3.6.1 - Death rate due to road traffic injuries,0.25,0.333,0.286,3
3.1.2 - Proportion of births attended by skilled health personnel,0.133,0.111,0.121,18
